"EU_circo";"region";"ville";"latitude";"longitude"
"Sud-Est";"Rhône-Alpes";"Lyon";"45.7484600";"4.8467100"
"Sud-Est";"Corse";"Ajaccio";"41.916667";"8.733333"
"Nord-Ouest";"Picardie";"Amiens";"49.9";"2.3"
"Est";"Franche-Comté";"Besançon";"47.25";"6.033333"
"Sud-Ouest";"Aquitaine";"Bordeaux";"44.833333";"-0.566667"
"Nord-Ouest";"Basse-Normandie";"Caen";"49.183333";"-0.35"
"Est";"Champagne-Ardenne";"Châlons-en-Champagne";"48.958333";"4.366667"
"Centre";"Auvergne";"Clermont-Ferrand";"45.783333";"3.083333"
"Est";"Bourgogne";"Dijon";"47.316667";"5.016667"
"Nord-Ouest";"Nord-Pas-de-Calais";"Lille";"50.633333";"3.066667"
"Centre";"Limousin";"Limoges";"45.85";"1.25"
"Sud-Est";"Provence-Alpes-Côte d'Azur";"Marseille";"43.2969500";"5.3810700"
"Est";"Lorraine";"Metz";"49.133333";"6.166667"
"Sud-Ouest";"Languedoc-Roussillon";"Montpellier";"43.6";"3.883333"
"Ouest";"Pays de la Loire";"Nantes";"47.216667";"-1.55"
"Centre";"Centre";"Orléans";"47.916667";"1.9"
"Île-de-France";"Île-de-France";"Paris";"48.8534100";"2.348800"
"Ouest";"Poitou-Charentes";"Poitiers";"46.583333";"0.333333"
"Ouest";"Bretagne";"Rennes";"48.083333";"-1.683333"
"Nord-Ouest";"Haute-Normandie";"Rouen";"49.433333";"1.083333"
"Est";"Alsace";"Strasbourg";"48.583333";"7.75"
"Sud-Ouest";"Midi-Pyrénées";"Toulouse";"43.6";"1.433333"
